order_id,date,customer_name,city,product,quantity,price,total
1000,17/10/2024,Usman,Lahore,Printer,1,5000,5000
1001,06/05/2024,Hamza,Rawalpindi,Printer,2,120000,240000
1002,02/09/2024,Bilal,Faisalabad,Printer,1,33663.80368,33663.80368
1003,29/08/2024,Sara,Islamabad,Monitor,4,45000,180000
1004,16/06/2024,Sara,Multan,Keyboard,1,2000,2000
1005,22/10/2024,Usman,Faisalabad,Mouse,2,15000,30000
1006,05/09/2024,Fatima,Faisalabad,Laptop,5,120000,600000
1007,15/05/2024,Ahmed,Multan,Laptop,1,2000,2000
1008,03/01/2025,Usman,Faisalabad,Mouse,2,45000,90000
1009,12/08/2024,Hamza,Rawalpindi,Printer,3,120000,360000
1010,09/01/2024,Fatima,Rawalpindi,Mouse,2,120000,240000
1011,04/04/2024,Sara,Faisalabad,Headphones,4,45000,180000
1012,23/10/2024,Ahmed,Faisalabad,Headphones,4,15000,60000
1013,29/10/2024,Ayesha,Rawalpindi,Monitor,3,2000,6000
1014,03/11/2024,Sara,Lahore,Keyboard,3,8000,24000
1015,07/11/2024,Hina,Faisalabad,Laptop,5,15000,75000
1016,27/01/2024,Ahmed,Faisalabad,Keyboard,3,5000,15000
1017,21/09/2024,Ali,Lahore,Printer,3,45000,135000
1018,26/12/2024,Hina,Faisalabad,Monitor,1,45000,45000
1019,12/12/2024,Hina,Lahore,Printer,1,2000,2000
1020,24/01/2024,Bilal,Karachi,Headphones,4,45000,180000
1021,18/09/2024,Zain,Rawalpindi,Keyboard,1,8000,8000
1022,03/05/2024,Hina,Multan,Headphones,1,120000,120000
1023,30/11/2024,Hina,Islamabad,Mouse,3,120000,360000
1024,21/09/2024,Fatima,Lahore,Printer,5,5000,25000
1025,18/09/2024,Ayesha,Karachi,Headphones,1,2000,2000
1026,04/11/2024,Usman,Multan,Monitor,2,5000,10000
1027,10/01/2025,Ali,Faisalabad,Mouse,2,5000,10000
1028,29/11/2024,Fatima,Multan,Monitor,5,5000,25000
1029,22/02/2024,Usman,Lahore,Monitor,3,2000,6000
1030,17/01/2025,Ayesha,Karachi,Printer,3,8000,24000
1031,25/11/2024,Bilal,Lahore,Laptop,4,8000,32000
1032,10/01/2024,Ali,Karachi,Mouse,2,45000,90000
1033,06/01/2025,Ali,Karachi,Keyboard,3,8000,24000
1034,17/12/2024,Zain,Rawalpindi,Printer,1,2000,2000
1035,14/12/2024,Sara,Multan,Mouse,1,5000,5000
1036,28/06/2024,Hamza,Karachi,Mouse,5,32704.54545,163522.7273
1037,03/12/2024,Ayesha,Islamabad,Keyboard,1,45000,45000
1038,13/07/2024,Usman,Lahore,Printer,3,8000,24000
1039,23/12/2024,Zain,Faisalabad,Keyboard,1,5000,5000
1040,01/05/2024,Sara,Lahore,Mouse,5,120000,600000
1041,02/02/2025,Usman,Lahore,Keyboard,4,45000,180000
1042,11/09/2024,Sara,Islamabad,Mouse,1,2000,2000
1043,30/07/2024,Usman,Rawalpindi,Mouse,2,8000,16000
1044,28/06/2024,Hamza,Karachi,Printer,5,5000,25000
1045,03/02/2024,Hamza,Lahore,Printer,5,5000,25000
1046,04/09/2024,Ali,Lahore,Printer,4,2000,8000
1047,03/10/2024,Ayesha,Lahore,Laptop,1,45000,45000
1048,02/10/2024,Usman,Rawalpindi,Mouse,2,15000,30000
1049,22/08/2024,Zain,Multan,Keyboard,3,2000,6000
1050,18/07/2024,Fatima,Islamabad,Laptop,1,2000,2000
1051,17/03/2024,Bilal,Karachi,Printer,4,5000,20000
1052,23/09/2024,Bilal,Faisalabad,Headphones,1,5000,5000
1053,11/03/2024,Ahmed,Rawalpindi,Keyboard,5,120000,600000
1054,28/02/2024,Hamza,Islamabad,Monitor,4,45000,180000
1055,01/01/2024,Fatima,Islamabad,Mouse,5,8000,40000
1056,02/03/2024,Hamza,Lahore,Laptop,5,5000,25000
1057,13/10/2024,Fatima,Multan,Printer,1,15000,15000
1058,06/01/2025,Ali,Karachi,Monitor,5,8000,40000
1059,27/09/2024,Hamza,Islamabad,Monitor,5,120000,600000
1060,03/01/2024,Ali,Multan,Mouse,2,15000,30000
1061,01/04/2024,Fatima,Multan,Mouse,1,45000,45000
1062,11/10/2024,Usman,Karachi,Headphones,2,8000,16000
1063,31/12/2024,Fatima,Faisalabad,Monitor,5,5000,25000
1064,21/01/2025,Ayesha,Lahore,Printer,2,2000,4000
1065,20/01/2025,Usman,Faisalabad,Mouse,3,8000,24000
1066,15/04/2024,Ahmed,Lahore,Mouse,2,8000,16000
1067,01/05/2024,Ayesha,Islamabad,Keyboard,3,8000,24000
1068,06/07/2024,Usman,Karachi,Headphones,1,15000,15000
1069,07/02/2024,Hina,Islamabad,Laptop,4,120000,480000
1070,13/09/2024,Hamza,Faisalabad,Headphones,1,120000,120000
1071,30/10/2024,Hina,Islamabad,Keyboard,1,8000,8000
1072,30/10/2024,Zain,Multan,Printer,4,120000,480000
1073,31/01/2025,Zain,Lahore,Monitor,2,2000,4000
1074,22/01/2024,Fatima,Karachi,Mouse,5,15000,75000
1075,19/01/2025,Hina,Islamabad,Mouse,3,32704.54545,98113.63636
1076,18/02/2024,Ali,Islamabad,Monitor,5,33164.37537,165821.8769
1077,09/12/2024,Sara,Lahore,Monitor,5,120000,600000
1078,18/08/2024,Hamza,Faisalabad,Monitor,5,2000,10000
1079,25/12/2024,Hamza,Islamabad,Mouse,4,2000,8000
1080,30/04/2024,Hina,Rawalpindi,Printer,2,15000,30000
1081,12/11/2024,Sara,Rawalpindi,Laptop,1,45000,45000
1082,28/01/2024,Fatima,Lahore,Headphones,3,8000,24000
1083,14/04/2024,Hina,Lahore,Monitor,1,15000,15000
1084,26/02/2024,Hina,Multan,Printer,4,8000,32000
1085,23/12/2024,Usman,Lahore,Printer,1,45000,45000
1086,08/05/2024,Hamza,Faisalabad,Monitor,2,120000,240000
1087,21/02/2024,Zain,Multan,Printer,2,5000,10000
1088,26/01/2025,Sara,Lahore,Printer,5,8000,40000
1089,19/11/2024,Ayesha,Karachi,Headphones,2,8000,16000
1090,29/05/2024,Ali,Faisalabad,Mouse,2,120000,240000
1091,05/09/2024,Ali,Faisalabad,Laptop,4,8000,32000
1092,13/12/2024,Usman,Islamabad,Headphones,1,120000,120000
1093,02/02/2024,Bilal,Multan,Mouse,4,45000,180000
1094,04/01/2024,Fatima,Rawalpindi,Keyboard,2,2000,4000
1095,04/01/2025,Ali,Faisalabad,Monitor,3,8000,24000
1096,05/05/2024,Sara,Faisalabad,Printer,3,15000,45000
1097,10/11/2024,Fatima,Rawalpindi,Mouse,1,2000,2000
1098,11/07/2024,Hina,Islamabad,Headphones,3,2000,6000
1099,01/11/2024,Zain,Faisalabad,Headphones,4,120000,480000
1100,01/11/2024,Zain,Faisalabad,Laptop,4,5000,20000
1101,01/01/2024,Bilal,Lahore,Printer,4,8000,32000
1102,12/06/2024,Ayesha,Lahore,Printer,5,15000,75000
1103,21/03/2024,Hina,Islamabad,Printer,4,15000,60000
